PID	Status	Label
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
882	0	com.logi.cp-dev-mgr
-	0	com.apple.systemsettingsagent
8071	0	com.apple.swcd
-	0	com.apple.symptomsd.distributed-agent
884	0	com.apple.AirPlayUIAgent
29440	0	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.dt.previewsd
-	0	com.apple.shazamd
-	0	com.apple.sensingpredictd
776	0	com.apple.corespotlightd
989	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
726	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
46986	0	com.openai.codex-sparkle-updater
-	0	com.apple.accessoryaccess.uiagent
1220	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
45710	0	com.apple.accessibility.mediaaccessibilityd
28580	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
12682	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
17418	0	com.apple.WorkflowKit.ShortcutsViewService
721	0	com.apple.carboncore.csnameddata
-	0	com.apple.mdworker.application
28546	0	com.apple.contactsd
49087	0	com.apple.mdworker.shared.07000000-0100-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
675	0	com.apple.distnoted.xpc.agent
996	0	com.apple.geod
